Uplink,ACK,Value,Std
12500,3,0.23778581319419617,0.0022127708161175635
50000,7,1.1548556386667395,0.002290273216572209
6250,3,0.12351291178274906,0.0009930179903949363
6250,31,0.6870375803788051,0.016618708138529795
50000,63,1.1590001736033124,0.005378445342963269
25000,15,1.140700800251817,0.0355236858567257
100000,63,1.168634781713083,0.016703335067914774
3125,7,0.12033520741684274,0.00014699349103193806
6250,63,1.004239319678414,0.02463199929071773
12500,7,0.43906461700177013,0.006084078680179478
50000,3,0.7521831851045202,0.024972509268228426
100000,31,1.1390986184309202,0.0399377986171345
25000,1,0.2390902246519846,0.0030078662953765744
6250,1,0.06317405876143767,0.0003948016036965784
50000,15,1.1611113269068654,0.004641122569870535
100000,3,1.1534192271649255,0.018214428212612276
50000,31,1.1676028229110058,0.007456831253778003
12500,31,1.105642715560976,0.07705520834974923
50000,1,0.43990481974207024,0.004826302194519234
3125,1,0.0318175693986835,0.00011604396889845016
12500,63,1.0882845292469532,0.06748126757700032
6250,7,0.23456154467822254,0.0033821006222604227
100000,7,1.1526264618620359,0.02788338891182541
25000,63,1.163763441877678,0.025864783231096092
3125,3,0.06301835803993294,7.232612040786978e-05
25000,31,1.121621054321729,0.08378789718078485
3125,63,0.6074156121044305,0.005812037905545334
3125,15,0.21863621576650819,0.0050697186598694655
100000,1,0.7421226604124012,0.03432915428878098
12500,15,0.7310318531671489,0.026298043446502828
12500,1,0.12361190785561105,0.001220775745237038
3125,31,0.3883390740237711,0.0019063883863323792
100000,15,1.1215482183601586,0.07757843246046982
25000,3,0.43730102171778124,0.0024613598940292285
6250,15,0.41613838747820003,0.012420784495999877
25000,7,0.7588061892755195,0.005096254311699869
